[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-05-28 09:11:41.784] [FETCH]... ↓ https://www.cls.cn/detail/2383334                                                                    | ✓ | ⏱: 2.38s 
[2026-05-28 09:11:41.813] [SCRAPE].. ◆ https://www.cls.cn/detail/2383334                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:41.832] [COMPLETE] ● https://www.cls.cn/detail/2383334                                                                    | ✓ | ⏱: 2.43s 
[2026-05-28 09:11:42.143] [FETCH]... ↓ https://www.cls.cn/detail/2383476                                                                    | ✓ | ⏱: 2.76s 
[2026-05-28 09:11:42.163] [SCRAPE].. ◆ https://www.cls.cn/detail/2383476                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:42.184] [COMPLETE] ● https://www.cls.cn/detail/2383476                                                                    | ✓ | ⏱: 2.80s 
[2026-05-28 09:11:45.203] [FETCH]... ↓ https://www.cls.cn/detail/2383242                                                                    | ✓ | ⏱: 2.45s 
[2026-05-28 09:11:45.213] [SCRAPE].. ◆ https://www.cls.cn/detail/2383242                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:45.236] [COMPLETE] ● https://www.cls.cn/detail/2383242                                                                    | ✓ | ⏱: 2.49s 
[2026-05-28 09:11:45.498] [FETCH]... ↓ https://www.cls.cn/detail/2383460                                                                    | ✓ | ⏱: 3.03s 
[2026-05-28 09:11:45.527] [SCRAPE].. ◆ https://www.cls.cn/detail/2383460                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:45.545] [COMPLETE] ● https://www.cls.cn/detail/2383460                                                                    | ✓ | ⏱: 3.08s 
[2026-05-28 09:11:48.210] [FETCH]... ↓ https://www.cls.cn/detail/2383488                                                                    | ✓ | ⏱: 2.36s 
[2026-05-28 09:11:48.232] [SCRAPE].. ◆ https://www.cls.cn/detail/2383488                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:48.247] [COMPLETE] ● https://www.cls.cn/detail/2383488                                                                    | ✓ | ⏱: 2.40s 
[2026-05-28 09:11:48.751] [FETCH]... ↓ https://www.cls.cn/detail/2383340                                                                    | ✓ | ⏱: 2.93s 
[2026-05-28 09:11:48.773] [SCRAPE].. ◆ https://www.cls.cn/detail/2383340                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:48.787] [COMPLETE] ● https://www.cls.cn/detail/2383340                                                                    | ✓ | ⏱: 2.97s 
[2026-05-28 09:11:51.499] [FETCH]... ↓ https://www.cls.cn/detail/2383558                                                                    | ✓ | ⏱: 2.30s 
[2026-05-28 09:11:51.533] [SCRAPE].. ◆ https://www.cls.cn/detail/2383558                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:51.558] [COMPLETE] ● https://www.cls.cn/detail/2383558                                                                    | ✓ | ⏱: 2.35s 
[2026-05-28 09:11:52.118] [FETCH]... ↓ https://www.cls.cn/detail/2383405                                                                    | ✓ | ⏱: 2.96s 
[2026-05-28 09:11:52.145] [SCRAPE].. ◆ https://www.cls.cn/detail/2383405                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:52.166] [COMPLETE] ● https://www.cls.cn/detail/2383405                                                                    | ✓ | ⏱: 3.01s 
[2026-05-28 09:12:52.090] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"
 
[2026-05-28 09:12:52.100] [ERROR]... × https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:12:55.003] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"
 
[2026-05-28 09:12:55.021] [ERROR]... × https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:13:53.717] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"
 
[2026-05-28 09:13:53.725] [ERROR]... × https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:13:56.639] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"
 
[2026-05-28 09:13:56.658] [ERROR]... × https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:14:56.855] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"
 
[2026-05-28 09:14:56.862] [ERROR]... × https://news.ifeng.com/c/8tUFuNsH8BY               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tUFuNsH8BY", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:15:00.250] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"
 
[2026-05-28 09:15:00.266] [ERROR]... × https://news.ifeng.com/c/8tTuRYfuC5R               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTuRYfuC5R", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
 779   
 780                       # ──────────────────────────────────────────────────────────────
 781                       # Walk the redirect chain.  Playwright returns only the last
 782                       # hop, so we trace the `request.redirected_from` links until the
 783                       # first response that differs from the final one and surface its 
[2026-05-28 09:15:57.204] [ANTIBOT]. ℹ https://news.ifeng.com/c/8tTPXgoAD0P               | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://news.ifeng.com/c/8tTPXgoAD0P", waiting until "load"
 
[2026-05-28 09:15:57.213] [ERROR]... × https://news.ifeng.com/c/8tTPXgoAD0P               | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
